Bloque,Individuo,Clorofila_Mmol_m2,Cond_estom_mmol,Temperatura_hoja
B2T1,219,426.8,,
B2T1,227,514.8,,
B2T1,229,344.7,,
B2T1,237,403.7,,
B2T1,238,449.3,,
B2T6,240,393.6,,
B2T6,241,320.7,,
B2T6,243,384.8,,
B2T6,246,308.1,,
B2T6,250,336.3,,
B2T3,264,338.7,,
B2T3,265,439.2,,
B2T3,268,343.4,,
B2T3,272,361.4,,
B2T3,276,400.6,,
B2T7,280,253.5,,
B2T7,281,348.5,,
B2T7,287,280.5,,
B2T7,290,315.7,,
B2T7,297,230.5,,
B2T2,300,304.2,,
B2T2,304,298.2,,
B2T2,312,246.3,,
B2T2,316,241.9,,
B2T2,320,174.1,,
B2T4,324,309.5,,
B2T4,325,321.1,,
B2T4,332,344.3,,
B2T4,333,309.5,,
B2T4,336,390.8,,
B2T5,350,327.7,,
B2T5,353,330.3,,
B2T5,356,344.5,,
B2T5,360,332.5,,
B2T5,368,373.2,,
B3T7,369,381.3,,
B3T7,373,337.8,,
B3T7,378,418.8,,
B3T7,380,363.3,,
B3T7,382,448.9,,
B3T3,384,372.7,,
B3T3,388,412.7,,
B3T3,392,456.7,,
B3T3,393,469.7,,
B3T3,398,308.2,,
B3T5,399,335.2,,
B3T5,404,320.4,,
B3T5,410,375.4,,
B3T5,414,293.8,,
B3T5,416,324.7,,
B3T6,428,322,,
B3T6,431,392.4,,
B3T6,437,354,,
B3T6,438,346.7,,
B3T6,440,397.4,,
B3T1,448,358.4,,
B3T1,449,389.7,,
B3T1,450,378.1,,
B3T1,455,326.1,,
B3T1,464,388.3,,
B3T4,469,337.7,,
B3T4,475,453,,
B3T4,480,341.6,,
B3T4,483,364.3,,
B3T4,485,385.6,,
B3T2,490,369.1,,
B3T2,494,328.8,,
B3T2,495,311.9,,
B3T2,499,333.9,,
B3T2,502,361.7,,
B4T7,507,371.3,,
B4T7,510,391.4,,
B4T7,511,382.3,,
B4T7,512,444.4,,
B3T1,519,382.3,,
B4T6,528,314.7,,
B4T6,529,359.5,,
B4T6,530,325.4,,
B4T6,533,356.1,,
B4T6,534,467,,
B4T2,557,403.1,,
B4T2,558,455.1,,
B4T2,559,423.3,,
B4T2,560,530,,
B4T2,561,429.8,,
B4T5,580,377.9,,
B4T5,574,332.5,,
B4T5,580,316.9,,
B4T5,583,373.9,,
B4T5,585,367.6,,
B4T4,604,453.3,,
B4T4,606,530.1,,
B4T4,608,419,,
B4T4,609,359.3,,
B4T3,610,369.8,,
B4T3,613,484.4,,
B4T3,620,451.4,,
B4T3,624,366.3,,
B4T3,630,499.1,,
B4T1,633,450.8,,
B4T1,636,407.6,,
B4T1,639,381.8,,
B4T1,641,422.1,,
B4T1,646,435.5,,
B5T6,649,501.5,,
B5T6,660,418.5,,
B5T6,662,410.1,,
B5T6,663,397.8,,
B5T6,664,387,,
B5T5,669,400.4,,
B5T5,670,363.4,,
B5T5,675,364.5,,
B5T5,679,361,,
B5T5,680,374.1,,
B5T1,689,338.5,,
B5T1,690,382.6,,
B5T1,695,403.9,,
B5T1,697,349.9,,
B5T1,702,349.8,,
B5T3,715,349.7,,
B5T3,719,319.5,,
B5T3,720,412.2,,
B5T3,721,369,,
B5T3,730,339,,
B5T2,738,426.1,,
B5T2,741,419.5,,
B5T2,743,349.5,,
B5T2,746,395.5,,
B5T2,747,372.9,,
B5T7,749,396.4,,
B5T7,751,382,,
B5T7,753,357,,
B5T7,756,430.6,,
B5T7,759,380.7,,
B4T1,766,358.8,,
B5T4,767,428.8,,
B5T4,769,379.4,,
B5T4,778,363.2,,
B5T4,779,355.8,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
